gene set	gene
AMP	AC5u0009GL001245
AMP	AC5u0009GL001278
AMP	AC5u0009GL001342
AMP	AC5u0009GL001344
AMP	AC5u0009GL001347
AMP	AC5u0009GL001353
AMP	AC5u0009GL001594
AMP	AC5u0009GL001595
AMP	AC5u0009GL001601
AMP	AC5u0009GL001604
AMP	AC5u0009GL001710
AMP	AC5u0009GL001760
AMP	AC5u0009GL001766
AMP	AC5u0009GL001811
AMP	AC5u0009GL001821
AMP	AC5u0009GL002113
AMP	AC5u0009GL002145
AMP	AC5u0009GL001379
AMP	AC5u0009GL000251
AMP	AC5u0009GL000327
AMP	AC5u0009GL001552
ATP	AC5u0009GL000018
ATP	AC5u0009GL000028
ATP	AC5u0009GL000056
ATP	AC5u0009GL000057
ATP	AC5u0009GL000061
ATP	AC5u0009GL000071
ATP	AC5u0009GL000073
ATP	AC5u0009GL000074
ATP	AC5u0009GL000090
ATP	AC5u0009GL000096
ATP	AC5u0009GL000103
ATP	AC5u0009GL000104
ATP	AC5u0009GL000105
ATP	AC5u0009GL000106
ATP	AC5u0009GL000107
ATP	AC5u0009GL000108
ATP	AC5u0009GL000110
ATP	AC5u0009GL000120
ATP	AC5u0009GL000121
ATP	AC5u0009GL000138
ATP	AC5u0009GL000143
ATP	AC5u0009GL000164
ATP	AC5u0009GL000165
ATP	AC5u0009GL000166
ATP	AC5u0009GL000169
ATP	AC5u0009GL000185
ATP	AC5u0009GL000194
ATP	AC5u0009GL000222
ATP	AC5u0009GL000223
ATP	AC5u0009GL000224
ATP	AC5u0009GL000226
ATP	AC5u0009GL000269
ATP	AC5u0009GL000270
ATP	AC5u0009GL000309
ATP	AC5u0009GL000316
ATP	AC5u0009GL000317
ATP	AC5u0009GL000318
ATP	AC5u0009GL000325
ATP	AC5u0009GL000329
ATP	AC5u0009GL000330
ATP	AC5u0009GL000331
ATP	AC5u0009GL000332
ATP	AC5u0009GL000365
ATP	AC5u0009GL000367
ATP	AC5u0009GL000368
ATP	AC5u0009GL000370
ATP	AC5u0009GL000371
ATP	AC5u0009GL000390
ATP	AC5u0009GL000401
ATP	AC5u0009GL000405
ATP	AC5u0009GL000429
ATP	AC5u0009GL000452
ATP	AC5u0009GL000453
ATP	AC5u0009GL000459
ATP	AC5u0009GL000571
ATP	AC5u0009GL000573
ATP	AC5u0009GL000583
ATP	AC5u0009GL000586
ATP	AC5u0009GL000587
ATP	AC5u0009GL000588
ATP	AC5u0009GL000589
ATP	AC5u0009GL000594
ATP	AC5u0009GL000601
ATP	AC5u0009GL000603
ATP	AC5u0009GL000612
ATP	AC5u0009GL000613
ATP	AC5u0009GL000614
ATP	AC5u0009GL000624
ATP	AC5u0009GL000651
ATP	AC5u0009GL000667
ATP	AC5u0009GL000668
ATP	AC5u0009GL000669
ATP	AC5u0009GL000674
ATP	AC5u0009GL000681
ATP	AC5u0009GL000682
ATP	AC5u0009GL000683
ATP	AC5u0009GL000719
ATP	AC5u0009GL000727
ATP	AC5u0009GL000728
ATP	AC5u0009GL000729
ATP	AC5u0009GL000736
ATP	AC5u0009GL000763
ATP	AC5u0009GL000770
ATP	AC5u0009GL000778
ATP	AC5u0009GL000800
ATP	AC5u0009GL000820
ATP	AC5u0009GL000826
ATP	AC5u0009GL000827
ATP	AC5u0009GL000834
ATP	AC5u0009GL000842
ATP	AC5u0009GL000843
ATP	AC5u0009GL000849
ATP	AC5u0009GL000886
ATP	AC5u0009GL000889
ATP	AC5u0009GL000892
ATP	AC5u0009GL000894
ATP	AC5u0009GL000895
ATP	AC5u0009GL000897
ATP	AC5u0009GL000899
ATP	AC5u0009GL000900
ATP	AC5u0009GL000908
ATP	AC5u0009GL000914
ATP	AC5u0009GL000915
ATP	AC5u0009GL000916
ATP	AC5u0009GL000965
ATP	AC5u0009GL000967
ATP	AC5u0009GL000982
ATP	AC5u0009GL001026
ATP	AC5u0009GL001030
ATP	AC5u0009GL001046
ATP	AC5u0009GL001047
ATP	AC5u0009GL001054
ATP	AC5u0009GL001057
ATP	AC5u0009GL001063
ATP	AC5u0009GL001065
ATP	AC5u0009GL001066
ATP	AC5u0009GL001072
ATP	AC5u0009GL001073
ATP	AC5u0009GL001081
ATP	AC5u0009GL001088
ATP	AC5u0009GL001089
ATP	AC5u0009GL001095
ATP	AC5u0009GL001144
ATP	AC5u0009GL001182
ATP	AC5u0009GL001183
ATP	AC5u0009GL001193
ATP	AC5u0009GL001217
ATP	AC5u0009GL001218
ATP	AC5u0009GL001221
ATP	AC5u0009GL001233
ATP	AC5u0009GL001234
ATP	AC5u0009GL001235
ATP	AC5u0009GL001236
ATP	AC5u0009GL001245
ATP	AC5u0009GL001304
ATP	AC5u0009GL001305
ATP	AC5u0009GL001313
ATP	AC5u0009GL001314
ATP	AC5u0009GL001315
ATP	AC5u0009GL001316
ATP	AC5u0009GL001317
ATP	AC5u0009GL001333
ATP	AC5u0009GL001342
ATP	AC5u0009GL001347
ATP	AC5u0009GL001353
ATP	AC5u0009GL001355
ATP	AC5u0009GL001365
ATP	AC5u0009GL001384
ATP	AC5u0009GL001478
ATP	AC5u0009GL001529
ATP	AC5u0009GL001530
ATP	AC5u0009GL001543
ATP	AC5u0009GL001574
ATP	AC5u0009GL001585
ATP	AC5u0009GL001594
ATP	AC5u0009GL001595
ATP	AC5u0009GL001598
ATP	AC5u0009GL001601
ATP	AC5u0009GL001604
ATP	AC5u0009GL001666
ATP	AC5u0009GL001667
ATP	AC5u0009GL001684
ATP	AC5u0009GL001685
ATP	AC5u0009GL001710
ATP	AC5u0009GL001728
ATP	AC5u0009GL001737
ATP	AC5u0009GL001738
ATP	AC5u0009GL001739
ATP	AC5u0009GL001760
ATP	AC5u0009GL001766
ATP	AC5u0009GL001789
ATP	AC5u0009GL001811
ATP	AC5u0009GL001848
ATP	AC5u0009GL001849
ATP	AC5u0009GL001859
ATP	AC5u0009GL001870
ATP	AC5u0009GL001878
ATP	AC5u0009GL001884
ATP	AC5u0009GL001885
ATP	AC5u0009GL001886
ATP	AC5u0009GL001887
ATP	AC5u0009GL001900
ATP	AC5u0009GL001901
ATP	AC5u0009GL001903
ATP	AC5u0009GL001911
ATP	AC5u0009GL001915
ATP	AC5u0009GL001940
ATP	AC5u0009GL001971
ATP	AC5u0009GL002028
ATP	AC5u0009GL002080
ATP	AC5u0009GL002081
ATP	AC5u0009GL002082
ATP	AC5u0009GL002083
ATP	AC5u0009GL002113
ATP	AC5u0009GL002122
ATP	AC5u0009GL002127
ATP	AC5u0009GL002128
ATP	AC5u0009GL002129
ATP	AC5u0009GL002145
ATP	AC5u0009GL002172
ATP	AC5u0009GL001171
ATP	AC5u0009GL000065
ATP	AC5u0009GL000199
ATP	AC5u0009GL000574
ATP	AC5u0009GL000357
ATP	AC5u0009GL001810
ATP	AC5u0009GL001746
ATP	AC5u0009GL000369
ATP	AC5u0009GL000351
ATP	AC5u0009GL001888
ATP	AC5u0009GL001532
ATP	AC5u0009GL000632
ATP	AC5u0009GL000901
ATP	AC5u0009GL002164
ATP	AC5u0009GL001161
ATP	AC5u0009GL001200
ATP	AC5u0009GL001630
ATP	AC5u0009GL001764
ATP	AC5u0009GL001905
H+	AC5u0009GL000018
H+	AC5u0009GL000024
H+	AC5u0009GL000026
H+	AC5u0009GL000036
H+	AC5u0009GL000055
H+	AC5u0009GL000057
H+	AC5u0009GL000061
H+	AC5u0009GL000071
H+	AC5u0009GL000090
H+	AC5u0009GL000103
H+	AC5u0009GL000104
H+	AC5u0009GL000105
H+	AC5u0009GL000106
H+	AC5u0009GL000107
H+	AC5u0009GL000108
H+	AC5u0009GL000110
H+	AC5u0009GL000111
