gene set	gene
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)	AC5u0009GL000225
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)	AC5u0009GL000233
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)	AC5u0009GL000225
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)	AC5u0009GL000233
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)	AC5u0009GL000225
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)	AC5u0009GL000233
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)	AC5u0009GL000225
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)	AC5u0009GL000233
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)	AC5u0009GL000225
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)	AC5u0009GL000233
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)	AC5u0009GL000225
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)	AC5u0009GL000233
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)	AC5u0009GL000225
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)	AC5u0009GL000233
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)	AC5u0009GL000225
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)	AC5u0009GL000233
3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)	AC5u0009GL000228
3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0)	AC5u0009GL000228
3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	AC5u0009GL000228
3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0)	AC5u0009GL000228
3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0)	AC5u0009GL000228
